timestamp,value,is_anomaly
1533714900,513,0
1533715200,524,0
1533715500,510,0
1533715800,490,0
1533716100,490,0
1533716400,534,0
1533716700,506,0
1533717000,520,0
1533717300,474,0
1533717600,599,0
1533717900,586,0
1533718200,529,0
1533718500,620,0
1533718800,576,0
1533719100,579,0
1533719400,570,0
1533719700,583,0
1533720000,670,0
1533720300,630,0
1533720600,593,0
1533720900,662,0
1533721200,626,0
1533721500,592,0
1533721800,658,0
1533722100,662,0
1533722400,692,0
1533722700,737,0
1533723000,642,0
1533723300,699,0
1533723600,605,0
1533723900,678,0
1533724200,742,0
1533724500,809,0
1533724800,665,0
1533725100,765,0
1533725400,774,0
1533725700,659,0
1533726000,755,0
1533726300,803,0
1533726600,837,0
1533726900,715,0
1533727200,809,0
1533727500,789,0
1533727800,844,0
1533728100,815,0
1533728400,867,0
1533728700,850,0
1533729000,838,0
1533729300,824,0
1533729600,984,0
1533729900,909,0
1533730200,988,0
1533730500,975,0
1533730800,982,0
1533731100,894,0
1533731400,995,0
1533731700,942,0
1533732000,1050,0
1533732300,999,0
1533732600,914,0
1533732900,990,0
1533733200,986,0
1533733500,960,0
1533733800,1061,0
1533734100,1080,0
1533734400,1065,0
1533734700,1056,0
1533735000,1082,0
1533735300,1071,0
1533735600,1007,0
1533735900,933,0
1533736200,1000,0
1533736500,1202,0
1533736800,1245,0
1533737100,1193,0
1533737400,1013,0
1533737700,1016,0
1533738000,955,0
1533738300,904,0
1533738600,923,0
1533738900,887,0
1533739200,878,0
1533739500,799,0
1533739800,826,0
1533740100,715,0
1533740400,729,0
1533740700,837,0
1533741000,704,0
1533741300,701,0
1533741600,631,0
1533741900,654,0
1533742200,628,0
1533742500,621,0
1533742800,509,0
1533743100,555,0
1533743400,504,0
1533743700,464,0
1533744000,121,0
1533744300,75,0
1533744600,83,0
1533744900,99,0
1533745200,104,0
1533745500,116,0
1533745800,117,0
1533746100,126,0
1533746400,102,0
1533746700,94,0
1533747000,100,0
1533747300,112,0
1533747600,91,0
1533747900,100,0
1533748200,92,0
1533748500,77,0
1533748800,112,0
1533749100,81,0
1533749400,84,0
1533749700,97,0
1533750000,83,0
1533750300,90,0
1533750600,81,0
1533750900,75,0
1533751200,54,0
1533751500,76,0
1533751800,73,0
1533752100,67,0
1533752400,62,0
1533752700,50,0
1533753000,48,0
1533753300,44,0
1533753600,62,0
1533753900,40,0
1533754200,55,0
1533754500,47,0
1533754800,34,0
1533755100,46,0
1533755400,35,0
1533755700,42,0
1533756000,50,0
1533756300,29,0
1533756600,25,0
1533756900,24,0
1533757200,26,0
1533757500,28,0
1533757800,26,0
1533758100,29,0
1533758400,26,0
1533758700,25,0
1533759000,67,0
1533759300,32,0
1533759600,38,0
1533759900,27,0
1533760200,33,0
1533760500,30,0
1533760800,39,0
1533761100,33,0
1533761400,42,0
1533761700,36,0
1533762000,50,0
1533762300,42,0
1533762600,45,0
1533762900,38,0
1533763200,47,0
1533763500,60,0
1533763800,65,0
1533764100,65,0
1533764400,82,0
1533764700,108,0
1533765000,67,0
1533765300,83,0
1533765600,123,0
1533765900,112,0
1533766200,107,0
1533766500,95,0
1533766800,140,0
1533767100,122,0
1533767400,158,0
1533767700,179,0
1533768000,217,0
1533768300,188,0
1533768600,186,0
1533768900,208,0
1533769200,192,0
1533769500,220,0
1533769800,226,0
1533770100,228,0
1533770400,257,0
1533770700,268,0
1533771000,260,0
1533771300,270,0
1533771600,238,0
1533771900,296,0
1533772200,258,0
1533772500,291,0
1533772800,277,0
1533773100,307,0
1533773400,322,0
1533773700,288,0
1533774000,347,0
1533774300,314,0
1533774600,348,0
1533774900,315,0
1533775200,384,0
1533775500,364,0
1533775800,381,0
1533776100,374,0
1533776400,396,0
1533776700,390,0
1533777000,375,0
1533777300,339,0
1533777600,394,0
1533777900,378,0
1533778200,404,0
1533778500,402,0
1533778800,364,0
1533779100,386,0
1533779400,397,0
1533779700,443,0
1533780000,476,0
1533780300,388,0
1533780600,411,0
1533780900,434,0
1533781200,408,0
1533781500,461,0
1533781800,475,0
1533782100,476,0
1533782400,467,0
1533782700,494,0
1533783000,419,0
1533783300,437,0
1533783900,537,0
1533784200,488,0
1533784500,495,0
1533784800,537,0
1533785100,471,0
1533785400,504,0
1533785700,527,0
1533786000,510,0
1533786300,548,0
1533786600,515,0
1533786900,574,0
1533787200,579,0
1533787500,624,0
1533787800,574,0
1533788100,597,0
1533788400,543,0
1533788700,568,0
1533789000,577,0
1533789300,511,0
1533789600,551,0
1533789900,559,0
1533790200,575,0
1533790500,523,0
1533790800,515,0
1533791100,512,0
1533791400,536,0
1533791700,559,0
1533792000,516,0
1533792300,542,0
1533792600,522,0
1533792900,534,0
1533793200,582,0
1533793500,527,0
1533793800,487,0
1533794100,473,0
1533794400,479,0
1533794700,469,0
1533795000,534,0
1533795300,499,0
1533795600,545,0
1533795900,471,0
1533796200,466,0
1533796500,568,0
1533796800,507,0
1533797100,467,0
1533797400,552,0
1533797700,531,0
1533798000,564,0
1533798300,514,0
1533798600,472,0
1533798900,569,0
1533799200,522,0
1533799500,494,0
1533799800,547,0
1533800100,498,0
1533800400,537,0
1533800700,527,0
1533801000,517,0
1533801300,419,0
1533801600,484,0
1533801900,529,0
1533802200,548,0
1533802500,537,0
1533802800,592,0
1533803100,556,0
1533803400,571,0
1533803700,573,0
1533804000,631,0
1533804300,544,0
1533804600,706,0
1533804900,613,0
1533805200,666,0
1533805500,679,0
1533805800,609,0
1533806100,608,0
1533806400,618,0
1533806700,606,0
1533807000,676,0
1533807300,698,0
1533807600,759,0
1533807900,712,0
1533808200,707,0
1533808500,730,0
1533808800,741,0
1533809100,791,0
1533809400,845,0
1533809700,781,0
1533810000,780,0
1533810300,809,0
1533810600,774,0
1533810900,834,0
1533811200,817,0
1533811500,895,0
1533811800,870,0
1533812100,975,0
1533812400,978,0
1533812700,856,0
1533813000,979,0
1533813300,954,0
1533813600,996,0
1533813900,968,0
1533814200,953,0
1533814500,975,0
1533814800,966,0
1533815100,997,0
1533815400,1061,0
1533815700,1074,0
1533816000,1161,0
1533816300,1132,0
1533816600,1104,0
1533816900,1008,0
1533817200,1050,0
1533817500,1092,0
1533817800,1112,0
1533818100,1100,0
1533818400,1130,0
1533818700,1068,0
1533819000,1114,0
1533819300,1102,0
1533819600,1121,0
1533819900,1053,0
1533820200,1148,0
1533820500,1040,0
1533820800,1154,0
1533821100,1173,0
1533821400,1162,0
1533821700,1153,0
1533822000,1134,0
1533822300,1143,0
1533822600,1072,0
1533822900,1106,0
1533823200,1094,0
1533823500,1038,0
1533823800,1018,0
1533824100,994,0
1533824400,923,0
1533824700,902,0
1533825000,886,0
1533825300,906,0
1533825600,942,0
1533825900,760,0
1533826200,807,0
1533826500,762,0
1533826800,704,0
1533827100,667,0
1533827400,621,0
1533827700,583,0
1533828000,581,0
1533828300,573,0
1533828600,486,0
1533828900,473,0
1533829200,454,0
1533829500,537,0
1533829800,427,0
1533830100,425,0
1533830400,105,0
1533830700,81,0
1533831000,82,0
1533831300,71,0
1533831600,123,0
1533831900,78,0
1533832200,94,0
1533832500,93,0
1533832800,124,0
1533833100,105,0
1533833400,82,0
1533833700,86,0
1533834000,104,0
1533834300,65,0
1533834600,93,0
1533834900,105,0
1533835200,71,0
1533835500,96,0
1533835800,73,0
1533836100,79,0
1533836400,66,0
1533836700,65,0
1533837000,67,0
1533837300,48,0
1533837600,76,0
1533837900,41,0
1533838200,45,0
