timestamp,value
1533643200,973
1533643500,1000
1533643800,1103
1533644100,925
1533644400,932
1533644700,970
1533645000,1056
1533645300,961
1533645600,957
1533645900,1004
1533646200,1046
1533646500,1037
1533646800,1015
1533647100,1059
1533647400,1053
1533647700,1079
1533648000,1115
1533648300,1084
1533648600,1093
1533648900,1091
1533649200,1005
1533649500,997
1533649800,975
1533650100,1113
1533650400,1213
1533650700,1042
1533651000,995
1533651300,916
1533651600,907
1533651900,856
1533652200,858
1533652500,754
1533652800,799
1533653100,663
1533653400,767
1533653700,726
1533654000,746
1533654300,707
1533654600,605
1533654900,531
1533655200,564
1533655500,522
1533655800,484
1533656100,512
1533656400,481
1533656700,488
1533657000,433
1533657300,434
1533657600,106
1533657900,77
1533658200,70
1533658500,89
1533658800,96
1533659100,99
1533659400,88
1533659700,133
1533660000,105
1533660300,101
1533660600,88
1533660900,92
1533661200,74
1533661500,91
1533661800,84
1533662100,96
1533662400,69
1533662700,74
1533663000,99
1533663300,74
1533663600,55
1533663900,57
1533664200,66
1533664500,56
1533664800,52
1533665100,47
1533665400,41
1533665700,41
1533666000,35
1533666300,42
1533666600,56
1533666900,45
1533667200,42
1533667500,31
1533667800,21
1533668100,43
1533668400,46
1533668700,42
1533669000,40
1533669300,24
1533669600,36
1533669900,18
1533670200,42
1533670500,40
1533670800,27
1533671100,24
1533671400,35
1533671700,26
1533672000,33
1533672300,25
1533672600,21
1533672900,25
1533673200,30
1533673500,41
1533673800,32
1533674100,28
1533674400,47
1533674700,28
1533675000,25
1533675300,56
1533675600,44
1533675900,43
1533676200,54
1533676500,37
1533676800,56
1533677100,40
1533677400,58
1533677700,63
1533678000,66
1533678300,71
1533678600,82
1533678900,91
1533679200,79
1533679500,103
1533679800,118
1533680100,116
1533680400,150
1533680700,156
1533681000,164
1533681300,182
1533681600,155
1533681900,156
1533682200,164
1533682500,151
1533682800,191
1533683100,210
1533683400,240
1533683700,231
1533684000,211
1533684300,268
1533684600,238
1533684900,218
1533685200,242
1533685500,237
1533685800,280
1533686100,281
1533686400,291
1533686700,281
1533687000,255
1533687300,290
1533687600,347
1533687900,283
1533688200,367
1533688500,301
1533688800,330
1533689100,347
1533689400,381
1533689700,386
1533690000,333
1533690300,403
1533690600,386
1533690900,361
1533691200,409
1533691500,404
1533691800,404
1533692100,396
1533692400,380
1533692700,368
1533693000,376
1533693300,441
1533693600,422
1533693900,411
1533694200,436
1533694500,430
1533694800,444
1533695100,446
1533695400,471
1533695700,481
1533696000,480
1533696300,448
1533696600,425
1533696900,439
1533697200,450
1533697500,496
1533697800,433
1533698100,443
1533698400,482
1533698700,439
1533699000,460
1533699300,504
1533699600,428
1533699900,523
1533700200,531
1533700500,540
1533700800,530
1533701100,503
1533701400,527
1533701700,515
1533702000,538
1533702300,547
1533702600,529
1533702900,538
1533703200,546
1533703500,525
1533703800,531
1533704100,470
1533704400,508
1533704700,566
1533705000,444
1533705300,507
1533705600,507
1533705900,599
1533706200,531
1533706500,488
1533706800,524
1533707100,430
1533707400,469
1533707700,458
1533708000,494
1533708300,460
1533708600,538
1533708900,517
1533709200,495
1533709500,483
1533709800,472
1533710100,461
1533710400,564
1533710700,438
1533711000,470
1533711300,439
1533711600,478
1533711900,517
1533712200,450
1533712500,512
1533712800,533
1533713100,540
1533713400,525
1533713700,496
1533714000,511
1533714300,558
1533714600,502
1533714900,513
1533715200,524
1533715500,510
1533715800,490
1533716100,490
1533716400,534
1533716700,506
1533717000,520
1533717300,474
1533717600,599
1533717900,586
1533718200,529
1533718500,620
1533718800,576
1533719100,579
1533719400,570
1533719700,583
1533720000,670
1533720300,630
1533720600,593
1533720900,662
1533721200,626
1533721500,592
1533721800,658
1533722100,662
1533722400,692
1533722700,737
1533723000,642
1533723300,699
1533723600,605
1533723900,678
1533724200,742
1533724500,809
1533724800,665
1533725100,765
1533725400,774
1533725700,659
1533726000,755
1533726300,803
1533726600,837
1533726900,715
1533727200,809
1533727500,789
1533727800,844
1533728100,815
1533728400,867
1533728700,850
1533729000,838
1533729300,824
1533729600,984
1533729900,909
1533730200,988
1533730500,975
1533730800,982
1533731100,894
1533731400,995
1533731700,942
1533732000,1050
1533732300,999
1533732600,914
1533732900,990
1533733200,986
1533733500,960
1533733800,1061
1533734100,1080
1533734400,1065
1533734700,1056
1533735000,1082
1533735300,1071
1533735600,1007
1533735900,933
1533736200,1000
1533736500,1202
1533736800,1245
1533737100,1193
1533737400,1013
1533737700,1016
1533738000,955
1533738300,904
1533738600,923
1533738900,887
1533739200,878
1533739500,799
1533739800,826
1533740100,715
1533740400,729
1533740700,837
1533741000,704
1533741300,701
1533741600,631
1533741900,654
1533742200,628
1533742500,621
1533742800,509
1533743100,555
1533743400,504
1533743700,464
1533744000,121
1533744300,75
1533744600,83
1533744900,99
1533745200,104
1533745500,116
1533745800,117
1533746100,126
1533746400,102
1533746700,94
1533747000,100
1533747300,112
1533747600,91
1533747900,100
1533748200,92
1533748500,77
1533748800,112
1533749100,81
1533749400,84
1533749700,97
1533750000,83
1533750300,90
1533750600,81
1533750900,75
1533751200,54
1533751500,76
1533751800,73
1533752100,67
1533752400,62
1533752700,50
1533753000,48
1533753300,44
1533753600,62
1533753900,40
1533754200,55
1533754500,47
1533754800,34
1533755100,46
1533755400,35
1533755700,42
1533756000,50
1533756300,29
1533756600,25
1533756900,24
1533757200,26
1533757500,28
1533757800,26
1533758100,29
1533758400,26
1533758700,25
1533759000,67
1533759300,32
1533759600,38
1533759900,27
1533760200,33
1533760500,30
1533760800,39
1533761100,33
1533761400,42
1533761700,36
1533762000,50
1533762300,42
1533762600,45
1533762900,38
1533763200,47
1533763500,60
1533763800,65
1533764100,65
1533764400,82
1533764700,108
1533765000,67
1533765300,83
1533765600,123
1533765900,112
1533766200,107
1533766500,95
1533766800,140
1533767100,122
1533767400,158
1533767700,179
1533768000,217
1533768300,188
1533768600,186
1533768900,208
1533769200,192
1533769500,220
1533769800,226
1533770100,228
1533770400,257
1533770700,268
1533771000,260
1533771300,270
1533771600,238
1533771900,296
1533772200,258
1533772500,291
1533772800,277
1533773100,307
1533773400,322
1533773700,288
1533774000,347
1533774300,314
1533774600,348
1533774900,315
1533775200,384
1533775500,364
1533775800,381
1533776100,374
1533776400,396
1533776700,390
1533777000,375
1533777300,339
1533777600,394
1533777900,378
1533778200,404
1533778500,402
1533778800,364
1533779100,386
1533779400,397
1533779700,443
1533780000,476
1533780300,388
1533780600,411
1533780900,434
1533781200,408
1533781500,461
1533781800,475
1533782100,476
1533782400,467
1533782700,494
1533783000,419
1533783300,437
1533783900,537
1533784200,488
1533784500,495
1533784800,537
1533785100,471
1533785400,504
1533785700,527
1533786000,510
1533786300,548
1533786600,515
1533786900,574
1533787200,579
1533787500,624
1533787800,574
1533788100,597
1533788400,543
1533788700,568
1533789000,577
1533789300,511
1533789600,551
1533789900,559
1533790200,575
1533790500,523
1533790800,515
1533791100,512
1533791400,536
1533791700,559
1533792000,516
1533792300,542
1533792600,522
1533792900,534
1533793200,582
1533793500,527
1533793800,487
1533794100,473
1533794400,479
1533794700,469
1533795000,534
1533795300,499
1533795600,545
1533795900,471
1533796200,466
1533796500,568
1533796800,507
1533797100,467
1533797400,552
1533797700,531
1533798000,564
1533798300,514
1533798600,472
1533798900,569
1533799200,522
1533799500,494
1533799800,547
1533800100,498
1533800400,537
1533800700,527
1533801000,517
1533801300,419
1533801600,484
1533801900,529
1533802200,548
1533802500,537
1533802800,592
1533803100,556
1533803400,571
1533803700,573
1533804000,631
1533804300,544
1533804600,706
1533804900,613
1533805200,666
1533805500,679
1533805800,609
1533806100,608
1533806400,618
1533806700,606
1533807000,676
1533807300,698
1533807600,759
1533807900,712
1533808200,707
1533808500,730
1533808800,741
1533809100,791
1533809400,845
1533809700,781
1533810000,780
1533810300,809
1533810600,774
1533810900,834
1533811200,817
1533811500,895
1533811800,870
1533812100,975
1533812400,978
1533812700,856
1533813000,979
1533813300,954
1533813600,996
1533813900,968
1533814200,953
1533814500,975
1533814800,966
1533815100,997
1533815400,1061
1533815700,1074
1533816000,1161
1533816300,1132
1533816600,1104
1533816900,1008
1533817200,1050
1533817500,1092
1533817800,1112
1533818100,1100
1533818400,1130
1533818700,1068
1533819000,1114
1533819300,1102
1533819600,1121
1533819900,1053
1533820200,1148
1533820500,1040
1533820800,1154
1533821100,1173
1533821400,1162
1533821700,1153
1533822000,1134
1533822300,1143
1533822600,1072
1533822900,1106
1533823200,1094
1533823500,1038
1533823800,1018
1533824100,994
1533824400,923
1533824700,902
1533825000,886
1533825300,906
1533825600,942
1533825900,760
1533826200,807
1533826500,762
1533826800,704
1533827100,667
1533827400,621
1533827700,583
1533828000,581
1533828300,573
1533828600,486
1533828900,473
1533829200,454
1533829500,537
1533829800,427
1533830100,425
1533830400,105
1533830700,81
1533831000,82
1533831300,71
1533831600,123
1533831900,78
1533832200,94
1533832500,93
1533832800,124
1533833100,105
1533833400,82
1533833700,86
1533834000,104
1533834300,65
1533834600,93
1533834900,105
1533835200,71
1533835500,96
1533835800,73
1533836100,79
1533836400,66
1533836700,65
1533837000,67
1533837300,48
1533837600,76
1533837900,41
1533838200,45
1533838500,64
1533838800,49
1533839100,39
1533839400,54
1533839700,33
1533840000,32
1533840300,42
1533840600,31
1533840900,20
1533841200,31
1533841500,39
1533842100,40
1533842400,42
1533842700,55
1533843000,21
1533843300,30
1533843600,43
1533843900,37
1533844200,36
1533844500,23
1533844800,32
1533845100,36
1533845400,20
1533845700,37
1533846000,26
1533846300,33
1533846600,42
1533846900,37
1533847200,40
1533847500,37
1533847800,38
1533848100,31
1533848400,30
1533848700,45
1533849000,58
1533849300,49
1533849600,52
1533849900,72
1533850200,69
1533850500,79
1533850800,45
1533851100,87
1533851400,98
1533851700,101
1533852000,116
1533852300,103
1533852600,100
1533852900,121
1533853200,123
1533853500,158
1533853800,133
1533854100,153
1533854400,213
1533854700,199
1533855000,167
1533855300,216
1533855600,239
1533855900,211
1533856200,246
1533856500,259
1533856800,254
1533857100,244
1533857400,247
1533857700,273
1533858000,298
1533858300,233
1533858600,280
1533858900,302
1533859200,258
1533859500,304
1533859800,294
1533860100,316
1533860400,346
1533860700,323
1533861000,301
1533861300,314
1533861600,351
1533861900,371
1533862200,423
1533862500,360
1533862800,390
1533863100,356
1533863400,362
1533863700,375
1533864000,339
